Modelo,TN,FP,FN,TP,Precisión Global,Error Global,PP,PN,AP,NP
Random Forest,373,127,58,210,0.7591145833333334,0.24088541666666666,0.7835820895522388,0.746,0.6231454005934718,0.8654292343387471
SVM Lineal,387,113,75,193,0.7552083333333334,0.24479166666666666,0.7201492537313433,0.774,0.630718954248366,0.8376623376623377
Red Neuronal MLP,401,99,101,167,0.7395833333333334,0.2604166666666667,0.6231343283582089,0.802,0.6278195488721805,0.798804780876494
