variable,importancia
Glucose,0.3682428872571974
BMI,0.1957107552666507
Age,0.14599839804690776
Pregnancies,0.07269854592116909
DiabetesPedigreeFunction,0.0707312877032786
Insulin,0.05894581488204266
SkinThickness,0.04399818784702314
BloodPressure,0.04367412307573072
